year,customs_office_fa,destination_country_fa,export_value_usd,source_url,scraped_at
1402,منطقه ویژه اقتصادی انرژی پارس,چین,6706391704,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی شهید رجایی,چین,3593219368,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,خسروی,عراق,2313887224,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی شهید رجایی,امارات متحده عربی,2256695765,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,مهران,عراق,1144422531,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,بازرگان,ترکیه,1136594748,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی پتروشیمی بندر امام خمینی (ره),چین,1131440161,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی بندر امام خمینی (ره),چین,1071543188,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی شهید رجایی,عمان,1062758196,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی انرژی پارس,امارات متحده عربی,1040791559,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی شهید رجایی,هند,1035158230,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه صنایع معدنی و فلزی خلیج فارس,چین,749879765,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی بندر امام خمینی (ره),امارات متحده عربی,720125879,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,پرویز خان,عراق,582978469,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,شلمچه,عراق,546271042,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,مشهد,افغانستان,432535733,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی پتروشیمی بندر امام خمینی (ره),امارات متحده عربی,416877434,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,بندر لنگه,امارات متحده عربی,409066015,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,تمرچین پیرانشهر,عراق,405702184,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,باشماق,عراق,387761752,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی انرژی پارس,هند,359074289,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی انرژی پارس,ترکیه,357878364,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی بوشهر 1,امارات متحده عربی,345888170,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,کرمانشاه,عراق,340723908,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,تبریز,ترکیه,325435073,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,آستارا,فدراسیون روسیه,324142957,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,سومار,عراق,319666971,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,اصفهان,پاکستان,318929836,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه صنایع معدنی و فلزی خلیج فارس,اندونزی,278921039,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی بوشهر 1,چین,273206634,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه اقتصادی بندر امام خمینی (ره),ترکیه,259474477,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,غرب تهران,عراق,251058505,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
1402,منطقه ویژه صنایع معدنی و فلزی خلیج فارس,تایلند,235092774,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1402,2026-09-07T15:57:15
