year,customs_office_fa,destination_country_fa,export_value_usd,source_url,scraped_at
1404,منطقه ویژه اقتصادی انرژی پارس,چین,5447238900,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی شهید رجایی,چین,2694590773,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,بازرگان,ترکیه,2387738852,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,خسروی,عراق,2006881383,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی شهید رجایی,امارات متحده عربی,1804958284,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی انرژی پارس,امارات متحده عربی,1385774932,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی پتروشیمی بندر امام خمینی (ره),چین,1103589009,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,مهران,عراق,808033013,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی شهید رجایی,عمان,771194585,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,شلمچه,عراق,702888638,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی بندر امام خمینی (ره),چین,656694256,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,بندر لنگه,امارات متحده عربی,499468321,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,تمرچین پیرانشهر,عراق,493176926,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,پرویز خان,عراق,459599494,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی شهید رجایی,هند,452937989,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,ارومیه,ترکیه,445672271,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی انرژی پارس,ترکیه,441766022,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه صنایع معدنی و فلزی خلیج فارس,چین,420783905,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,تبریز,ترکیه,408011057,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,مشهد,افغانستان,398112066,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,چذابه -مرزبستان,عراق,397937926,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی انرژی پارس,پاکستان,382599212,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,ماهیرود,افغانستان,376128542,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی پتروشیمی بندر امام خمینی (ره),امارات متحده عربی,373653351,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی بندر امام خمینی (ره),امارات متحده عربی,359782647,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,سومار,عراق,343731559,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,غرب تهران,کنیا,336653798,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,آستارا,فدراسیون روسیه,332384834,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,ارومیه,امارات متحده عربی,331975420,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,شهید باهنر,امارات متحده عربی,331156646,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه صنایع معدنی و فلزی خلیج فارس,اندونزی,309194186,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,باشماق,عراق,305695128,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,غرب تهران,ترکیه,272303630,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی لامرد,ترکیه,262252764,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی بوشهر 1,چین,259667606,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی انرژی پارس,عمان,259434937,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,اصفهان,پاکستان,250501376,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,شهید باهنر,عمان,248435930,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,دوغارون,افغانستان,245582109,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی انرژی پارس,هند,238552921,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,ارومیه,عراق,234399986,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,مشهد,تاجیکستان,232385124,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی بوشهر 1,امارات متحده عربی,224775536,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,نوردوز,ارمنستان,211705216,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی انرژی پارس,برزیل,208196360,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,بازارچه كیله سردشت,عراق,199439049,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی شهید رجایی,پاکستان,183821971,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه اقتصادی ایرانیان(زرندیه),پاکستان,173878985,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,مشهد,ازبکستان,171603765,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه ویژه صنایع معدنی و فلزی خلیج فارس,ترکیه,164967297,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,اینچه برون,ترکمنستان,158931257,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,یزد,عراق,156022054,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,بیله سوار,جمهوری آذربایجان,155990115,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,غرب تهران,عراق,149484119,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
1404,منطقه آزاد تجاری قشم,امارات متحده عربی,138924844,https://service.tccim.ir/stats?mode=doit&slcImpExp=Export&slcCountry=&slcCustom=&sYear=1404,2026-09-07T15:57:29
