hs_code,hs_code_2,hs_code_4,hs_code_6,hs_code_8,hs_description
02.07.14.20,02,0207,020714,02071420,قطعات منجمد مرغ
02.07.14.30,02,0207,020714,02071430,احشاء منجمد مرغ تازه سرد كرده منجمد
02.07.14.40,02,0207,020714,02071440,پای مرغ بصورت منجمد
02.07.14.40,02,0207,020714,02071440,پای مرغ به صورت منجمد
02.07.14.90,02,0207,020714,02071490,
02.07.14.90,02,0207,020714,02071490,سایر قطعات مرغ به صورت منجمد
02.07.24.00,02,0207,020724,02072400,بوقلمون بریده نشده به صورت قطعات، تازه یا سرد کرده
02.07.25.00,02,0207,020725,02072500,گوشت بوقلمون بریده نشده، به صورت قطعات، منجمد
02.07.27.90,02,0207,020727,02072790,سایر احشای خوراکی از بوقلمون غیر مذکور در جای دیگر
03.01.11.00,03,0301,030111,03011100,ماهی های زنده زینتی آب شیرین
03.01.11.00,03,0301,030111,03011100,ماهي هاي زنده زينتي آب شيرين
03.01.19.00,03,0301,030119,03011900,ماهي هاي زنده زينتي آب شور
03.01.19.00,03,0301,030119,03011900,ماهی های زنده زینتی آب شور
03.01.91.10,03,0301,030191,03019110,قزل آلا برای اصلاح نژاد و تکثیر و پرورش
03.01.91.10,03,0301,030191,03019110,قزل ا لابراي ا صلاح نژا د وتکثير و پرورش
03.01.91.20,03,0301,030191,03019120,قزل آلا ازنوع تخم چشم زده
03.01.91.90,03,0301,030191,03019190,سایر ماهی ها قزل آلا بجز برای اصلاح نژاد و تکثیر و پرورش و تخم چشم زده
03.01.91.90,03,0301,030191,03019190,ساير ماهي ها قزل آلا بجز براي اصلاح نژا د و تکثير و پرورش و تخم چشم زده
03.01.93.10,03,0301,030193,03019310,ماهي کپور براي ا صلاح نژا د و تکثير و پرورش (Carp)
03.01.93.90,03,0301,030193,03019390,سایر ماهی کپور بجز برای اصلاح نژاد و تکثیر پرورش
03.01.93.90,03,0301,030193,03019390,ساير ماهي کپور بجز براي ا صلاح نژا د و تکثيرپرورش
03.01.99.10,03,0301,030199,03019910,سایر ماهی های زنده برای اصلاح نژاد و تکثیر و پرورش
03.01.99.10,03,0301,030199,03019910,ساير ماهي هاي زنده براي ا صلاح نژا د وتکثير وپرورش
03.01.99.20,03,0301,030199,03019920,تخم و لارو بچه ماهی
03.01.99.20,03,0301,030199,03019920,تخم و لارو بچهک ماهي
03.01.99.90,03,0301,030199,03019990,ساير ماهي هاي زنده غير مذکور در جاي ديگر
03.01.99.90,03,0301,030199,03019990,سایر ماهی های زنده غیر مذکور در جای دیگر
03.02.11.00,03,0302,030211,03021100,قزل آلا (Salmo trutta، Oncorhynchus mykiss، Oncorhynchus clarki، Oncorhynchus aguabonita، Oncorhynchus gilae، Oncorhynchus apache and Oncorhynchus chrysogaster)
